1.000000	-0.000000	0.000000
0.999828	0.000059	0.000000
0.999312	0.000234	0.000000
0.998453	0.000526	0.000000
0.997251	0.000934	0.000000
0.995707	0.001457	0.000000
0.993822	0.002095	0.000000
0.991597	0.002845	0.000000
0.989033	0.003706	0.000000
0.986133	0.004676	0.000000
0.982897	0.005754	0.000000
0.979328	0.006936	0.000000
0.975429	0.008222	0.000000
0.971201	0.009608	0.000000
0.966647	0.011091	0.000000
0.961771	0.012668	0.000000
0.956575	0.014337	0.000000
0.951063	0.016094	0.000000
0.945239	0.017935	0.000000
0.939105	0.019858	0.000000
0.932666	0.021859	0.000000
0.925927	0.023934	0.000000
0.918891	0.026079	0.000000
0.911563	0.028290	0.000000
0.903948	0.030564	0.000000
0.896051	0.032896	0.000000
0.887877	0.035283	0.000000
0.879432	0.037720	0.000000
0.870720	0.040204	0.000000
0.861749	0.042730	0.000000
0.852523	0.045293	0.000000
0.843050	0.047891	0.000000
0.833334	0.050519	0.000000
0.823384	0.053171	0.000000
0.813205	0.055846	0.000000
0.802804	0.058537	0.000000
0.792189	0.061242	0.000000
0.781366	0.063955	0.000000
0.770344	0.066672	0.000000
0.759128	0.069390	0.000000
0.747728	0.072104	0.000000
0.736150	0.074810	0.000000
0.724404	0.077504	0.000000
0.712496	0.080181	0.000000
0.700435	0.082837	0.000000
0.688229	0.085468	0.000000
0.675888	0.088070	0.000000
0.663418	0.090638	0.000000
0.650830	0.093168	0.000000
0.638131	0.095655	0.000000
0.625331	0.098097	0.000000
0.612439	0.100487	0.000000
0.599463	0.102822	0.000000
0.586413	0.105097	0.000000
0.573298	0.107308	0.000000
0.560127	0.109451	0.000000
0.546910	0.111520	0.000000
0.533655	0.113513	0.000000
0.520373	0.115424	0.000000
0.507072	0.117249	0.000000
0.493763	0.118985	0.000000
0.480454	0.120626	0.000000
0.467156	0.122168	0.000000
0.453877	0.123608	0.000000
0.440577	0.124938	0.000000
0.427309	0.126151	0.000000
0.414088	0.127243	0.000000
0.400925	0.128210	0.000000
0.387829	0.129050	0.000000
0.374810	0.129758	0.000000
0.361877	0.130331	0.000000
0.349040	0.130767	0.000000
0.336309	0.131064	0.000000
0.323693	0.131218	0.000000
0.311201	0.131228	0.000000
0.298843	0.131091	0.000000
0.286629	0.130806	0.000000
0.274566	0.130372	0.000000
0.262665	0.129788	0.000000
0.250934	0.129052	0.000000
0.239382	0.128165	0.000000
0.228017	0.127127	0.000000
0.216849	0.125936	0.000000
0.205885	0.124595	0.000000
0.195133	0.123104	0.000000
0.184602	0.121464	0.000000
0.174300	0.119676	0.000000
0.164233	0.117743	0.000000
0.154409	0.115666	0.000000
0.144836	0.113448	0.000000
0.135521	0.111091	0.000000
0.126469	0.108599	0.000000
0.117689	0.105974	0.000000
0.109185	0.103221	0.000000
0.100964	0.100342	0.000000
0.093033	0.097342	0.000000
0.085396	0.094225	0.000000
0.078058	0.090995	0.000000
0.071026	0.087655	0.000000
0.064303	0.084211	0.000000
0.057895	0.080668	0.000000
0.051805	0.077029	0.000000
0.046037	0.073299	0.000000
0.040596	0.069483	0.000000
0.035485	0.065585	0.000000
0.030707	0.061610	0.000000
0.026265	0.057563	0.000000
0.022161	0.053446	0.000000
0.018399	0.049266	0.000000
0.014981	0.045025	0.000000
0.011908	0.040727	0.000000
0.009183	0.036376	0.000000
0.006806	0.031975	0.000000
0.004779	0.027528	0.000000
0.003103	0.023037	0.000000
0.001778	0.018504	0.000000
0.000805	0.013932	0.000000
0.000185	0.009323	0.000000
-0.000084	0.004679	0.000000
0.000000	0.000000	0.000000
0.000432	-0.004660	0.000000
0.001209	-0.009247	0.000000
0.002329	-0.013760	0.000000
0.003793	-0.018197	0.000000
0.005597	-0.022559	0.000000
0.007740	-0.026841	0.000000
0.010221	-0.031044	0.000000
0.013037	-0.035164	0.000000
0.016186	-0.039199	0.000000
0.019665	-0.043148	0.000000
0.023471	-0.047007	0.000000
0.027601	-0.050773	0.000000
0.032053	-0.054445	0.000000
0.036821	-0.058020	0.000000
0.041904	-0.061494	0.000000
0.047296	-0.064864	0.000000
0.052994	-0.068128	0.000000
0.058994	-0.071284	0.000000
0.065290	-0.074327	0.000000
0.071880	-0.077256	0.000000
0.078757	-0.080067	0.000000
0.085917	-0.082758	0.000000
0.093355	-0.085327	0.000000
0.101065	-0.087771	0.000000
0.109042	-0.090089	0.000000
0.117282	-0.092277	0.000000
0.125777	-0.094336	0.000000
0.134522	-0.096262	0.000000
0.143512	-0.098055	0.000000
0.152739	-0.099713	0.000000
0.162199	-0.101237	0.000000
0.171885	-0.102624	0.000000
0.181790	-0.103876	0.000000
0.191908	-0.104993	0.000000
0.202232	-0.105973	0.000000
0.212756	-0.106819	0.000000
0.223472	-0.107531	0.000000
0.234374	-0.108110	0.000000
0.245454	-0.108558	0.000000
0.256706	-0.108876	0.000000
0.268122	-0.109066	0.000000
0.279695	-0.109131	0.000000
0.291418	-0.109073	0.000000
0.303282	-0.108894	0.000000
0.315280	-0.108599	0.000000
0.327405	-0.108189	0.000000
0.339649	-0.107668	0.000000
0.352003	-0.107040	0.000000
0.364460	-0.106308	0.000000
0.377012	-0.105476	0.000000
0.389650	-0.104548	0.000000
0.402367	-0.103528	0.000000
0.415153	-0.102419	0.000000
0.428002	-0.101227	0.000000
0.440903	-0.099955	0.000000
0.453854	-0.098608	0.000000
0.466892	-0.097185	0.000000
0.479956	-0.095689	0.000000
0.493038	-0.094123	0.000000
0.506128	-0.092492	0.000000
0.519217	-0.090801	0.000000
0.532297	-0.089052	0.000000
0.545359	-0.087250	0.000000
0.558393	-0.085399	0.000000
0.571392	-0.083504	0.000000
0.584346	-0.081567	0.000000
0.597245	-0.079594	0.000000
0.610082	-0.077586	0.000000
0.622847	-0.075550	0.000000
0.635532	-0.073487	0.000000
0.648127	-0.071401	0.000000
0.660624	-0.069296	0.000000
0.673014	-0.067175	0.000000
0.685289	-0.065042	0.000000
0.697440	-0.062899	0.000000
0.709458	-0.060750	0.000000
0.721335	-0.058597	0.000000
0.733062	-0.056445	0.000000
0.744632	-0.054294	0.000000
0.756036	-0.052150	0.000000
0.767265	-0.050014	0.000000
0.778313	-0.047888	0.000000
0.789170	-0.045777	0.000000
0.799830	-0.043682	0.000000
0.810285	-0.041607	0.000000
0.820526	-0.039553	0.000000
0.830548	-0.037524	0.000000
0.840342	-0.035522	0.000000
0.849901	-0.033549	0.000000
0.859219	-0.031610	0.000000
0.868289	-0.029704	0.000000
0.877103	-0.027837	0.000000
0.885657	-0.026009	0.000000
0.893942	-0.024225	0.000000
0.901954	-0.022485	0.000000
0.909687	-0.020792	0.000000
0.917134	-0.019150	0.000000
0.924291	-0.017561	0.000000
0.931151	-0.016026	0.000000
0.937710	-0.014549	0.000000
0.943963	-0.013131	0.000000
0.949906	-0.011775	0.000000
0.955533	-0.010484	0.000000
0.960841	-0.009258	0.000000
0.965825	-0.008101	0.000000
0.970482	-0.007015	0.000000
0.974809	-0.006001	0.000000
0.978801	-0.005061	0.000000
0.982457	-0.004196	0.000000
0.985773	-0.003409	0.000000
0.988747	-0.002701	0.000000
0.991376	-0.002073	0.000000
0.993659	-0.001526	0.000000
0.995593	-0.001062	0.000000
0.997178	-0.000680	0.000000
0.998412	-0.000383	0.000000
0.999294	-0.000170	0.000000
0.999823	-0.000043	0.000000
1.000000	0.000000	0.000000
