MRC15
   1.000000 -0.000100
   0.991305  0.001460
   0.978570  0.003704
   0.961863  0.006579
   0.943140  0.009785
   0.923869  0.013073
   0.904468  0.016366
   0.885029  0.019657
   0.865594  0.022942
   0.846187  0.026208
   0.826813  0.029442
   0.807473  0.032629
   0.788165  0.035756
   0.768884  0.038813
   0.749627  0.041786
   0.730392  0.044665
   0.711173  0.047440
   0.691960  0.050103
   0.672742  0.052650
   0.653515  0.055082
   0.634280  0.057397
   0.615044  0.059590
   0.595810  0.061657
   0.576580  0.063592
   0.557355  0.065390
   0.538132  0.067045
   0.518912  0.068553
   0.499694  0.069910
   0.480478  0.071111
   0.461266  0.072154
   0.442059  0.073033
   0.422859  0.073746
   0.403670  0.074287
   0.384496  0.074651
   0.365340  0.074832
   0.346208  0.074824
   0.327103  0.074618
   0.308031  0.074206
   0.288999  0.073581
   0.270015  0.072731
   0.251090  0.071645
   0.232235  0.070309
   0.213466  0.068707
   0.194799  0.066823
   0.176258  0.064635
   0.157872  0.062120
   0.139686  0.059253
   0.121757  0.056000
   0.104166  0.052325
   0.087025  0.048188
   0.070504  0.043558
   0.054910  0.038446
   0.040758  0.032966
   0.028748  0.027427
   0.019375  0.022239
   0.012499  0.017614
   0.007582  0.013511
   0.004117  0.009797
   0.001784  0.006345
   0.000433  0.003076
   0.000000  0.000010
   0.000450 -0.003027
   0.001920 -0.006119
   0.004480 -0.009149
   0.008210 -0.012163
   0.013374 -0.015312
   0.020484 -0.018738
   0.030165 -0.022460
   0.042747 -0.026324
   0.057807 -0.030069
   0.074448 -0.033481
   0.091965 -0.036479
   0.109988 -0.039075
   0.128339 -0.041308
   0.146921 -0.043220
   0.165674 -0.044845
   0.184556 -0.046214
   0.203538 -0.047351
   0.222600 -0.048275
   0.241728 -0.049003
   0.260909 -0.049551
   0.280135 -0.049930
   0.299399 -0.050153
   0.318695 -0.050228
   0.338018 -0.050165
   0.357365 -0.049972
   0.376731 -0.049654
   0.396112 -0.049219
   0.415507 -0.048671
   0.434912 -0.048016
   0.454326 -0.047256
   0.473747 -0.046397
   0.493174 -0.045440
   0.512608 -0.044391
   0.532046 -0.043251
   0.551489 -0.042024
   0.570938 -0.040714
   0.590393 -0.039323
   0.609855 -0.037856
   0.629327 -0.036317
   0.648811 -0.034710
   0.668307 -0.033041
   0.687815 -0.031317
   0.707333 -0.029542
   0.726855 -0.027721
   0.746386 -0.025855
   0.765931 -0.023949
   0.785497 -0.022010
   0.805083 -0.020045
   0.824687 -0.018062
   0.844307 -0.016067
   0.863938 -0.014066
   0.883573 -0.012062
   0.903206 -0.010057
   0.922816 -0.008053
   0.942305 -0.006060
   0.961251 -0.004117
   0.978238 -0.002367
   0.991196 -0.001023
   1.000000 -0.000105
