DAI 1238
    1.000000   0.000000
    0.987050   0.002546
    0.967476   0.006610
    0.940346   0.012586
    0.909890   0.019847
    0.879981   0.027455
    0.850082   0.035448
    0.819810   0.043842
    0.789247   0.052439
    0.759278   0.060721
    0.729839   0.068470
    0.700695   0.075565
    0.671645   0.082021
    0.642606   0.087842
    0.613488   0.092999
    0.584260   0.097531
    0.554895   0.101429
    0.525396   0.104724
    0.495794   0.107428
    0.466127   0.109537
    0.436463   0.111073
    0.406859   0.111985
    0.377328   0.112255
    0.347910   0.111881
    0.318658   0.110823
    0.289612   0.109052
    0.260823   0.106525
    0.232369   0.103237
    0.204378   0.099123
    0.176956   0.094138
    0.150291   0.088249
    0.124603   0.081411
    0.100196   0.073599
    0.077398   0.064788
    0.056687   0.055143
    0.038684   0.044889
    0.024005   0.034491
    0.013133   0.024643
    0.006034   0.016037
    0.002070   0.009022
    0.000317   0.003395
    0.000041  -0.001187
    0.000779  -0.004967
    0.002280  -0.008092
    0.004731  -0.010736
    0.008815  -0.013174
    0.016010  -0.015721
    0.028261  -0.018183
    0.046833  -0.020163
    0.070706  -0.021288
    0.098062  -0.021599
    0.127281  -0.021244
    0.157508  -0.020414
    0.188280  -0.019228
    0.219394  -0.017769
    0.250749  -0.016111
    0.282285  -0.014311
    0.313962  -0.012412
    0.345750  -0.010452
    0.377632  -0.008456
    0.409557  -0.006453
    0.441421  -0.004470
    0.473219  -0.002524
    0.504951  -0.000636
    0.536620   0.001173
    0.568224   0.002890
    0.599758   0.004492
    0.631215   0.005959
    0.662581   0.007268
    0.693845   0.008386
    0.724993   0.009286
    0.755983   0.009942
    0.786759   0.010304
    0.817288   0.010301
    0.847594   0.009856
    0.877785   0.008909
    0.908188   0.007410
    0.939316   0.005334
    0.966956   0.003091
    0.986862   0.001267
    1.000000   0.000000
