HAM-STD HS1-430 AIRFOIL
       63.       61.

  0.000000  0.000000
  0.000000  0.000010
  0.000474 -0.009961
  0.000965 -0.014002
  0.001954 -0.019614
  0.002946 -0.023847
  0.004938 -0.030446
  0.007433 -0.036886
  0.009930 -0.042199
  0.019935 -0.057856
  0.029954 -0.069010
  0.039979 -0.077782
  0.050009 -0.084977
  0.060041 -0.091036
  0.070077 -0.096220
  0.080114 -0.100682
  0.090154 -0.104539
  0.100194 -0.107894
  0.120279 -0.113218
  0.140369 -0.117035
  0.160462 -0.119645
  0.188596 -0.121786
  0.200655 -0.122322
  0.220755 -0.122883
  0.240854 -0.123201
  0.260954 -0.123379
  0.281054 -0.123457
  0.301155 -0.123443
  0.341357 -0.123036
  0.361458 -0.122602
  0.381561 -0.121995
  0.401663 -0.121229
  0.441870 -0.119273
  0.461974 -0.118125
  0.482078 -0.116846
  0.502183 -0.115405
  0.542394 -0.111973
  0.562500 -0.109950
  0.582606 -0.107726
  0.602714 -0.105311
  0.642930 -0.099979
  0.663039 -0.097092
  0.683149 -0.094094
  0.703258 -0.091025
  0.743476 -0.084739
  0.763586 -0.081530
  0.783695 -0.078240
  0.803807 -0.074821
  0.823917 -0.071200
  0.844028 -0.067327
  0.864141 -0.063174
  0.884254 -0.058709
  0.904369 -0.053932
  0.914426 -0.051409
  0.924484 -0.048814
  0.934541 -0.046120
  0.944600 -0.043334
  0.954658 -0.040458
  0.964717 -0.037482
  0.974776 -0.034395
  0.984836 -0.031137
  0.994896 -0.027639
  1.004957 -0.023778

  0.000000  0.000000
  0.000532  0.010290
  0.001047  0.014631
  0.002069  0.020808
  0.003089  0.025589
  0.005120  0.033182
  0.007654  0.040752
  0.010185  0.047127
  0.020291  0.066545
  0.030382  0.080999
  0.040466  0.092759
  0.050545  0.102720
  0.060620  0.111354
  0.070692  0.118964
  0.080761  0.125739
  0.090829  0.131781
  0.100895  0.137199
  0.121022  0.146338
  0.141142  0.153617
  0.161260  0.159378
  0.189418  0.165458
  0.201483  0.167494
  0.221593  0.170331
  0.241700  0.172606
  0.261805  0.174458
  0.281911  0.175948
  0.302014  0.177106
  0.342219  0.178429
  0.362320  0.178582
  0.382420  0.178374
  0.402518  0.177824
  0.442714  0.175880
  0.462811  0.174526
  0.482907  0.172911
  0.503002  0.170984
  0.543189  0.166082
  0.563279  0.163083
  0.583369  0.159748
  0.603457  0.156109
  0.643632  0.148073
  0.663718  0.143715
  0.683802  0.139149
  0.703889  0.134383
  0.744060  0.124329
  0.764148  0.119014
  0.784231  0.113470
  0.804319  0.107640
  0.824406  0.101440
  0.844498  0.094791
  0.864608  0.087624
  0.884726  0.079855
  0.904861  0.071398
  0.915096  0.066811
  0.924940  0.062200
  0.934984  0.057297
  0.944992  0.052209
  0.954987  0.046937
  0.964992  0.041512
  0.975006  0.035917
  0.985021  0.030037
  0.995043  0.023778
